VARLIST:  MJD		 FLT  FLUXCAL	FLUXCALERR	  MAG	  MAGERR	 MAGSYS	  TELESCOPE	   INSTRUMENT
OBS:	  58153.490	V-Johnson	87096.359  0.000	15.150  0.000	None	Unknown	Unknown
OBS:	  58598.213	g-ZTF	52995.636  278.221	15.689  0.006	None	P48	ZTF-Cam
OBS:	  58602.163	r-ZTF	109355.367  5559.745	14.903  0.055	None	P48	ZTF-Cam
OBS:	  58602.188	g-ZTF	53782.382  366.562	15.673  0.007	None	P48	ZTF-Cam
OBS:	  58606.152	g-ZTF	53358.048  344.012	15.682  0.007	None	P48	ZTF-Cam
OBS:	  58609.153	r-ZTF	123128.866  385.580	14.774  0.003	None	P48	ZTF-Cam
OBS:	  58609.186	g-ZTF	53254.945  274.678	15.684  0.006	None	P48	ZTF-Cam
OBS:	  58617.235	r-ZTF	124968.297  667.580	14.758  0.006	None	P48	ZTF-Cam
OBS:	  58155.569	B	144143.484  1286.280	14.603  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58155.571	V	131618.052  1026.098	14.702  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58155.575	gp	143555.726  1007.544	14.608  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58155.580	rp	116045.580  759.446	14.839  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58155.583	ip	87599.621  638.461	15.144  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58156.552	B	159849.841  1416.923	14.491  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58156.555	V	145283.594  1082.866	14.595  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58156.557	gp	157369.126  1079.206	14.508  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58156.561	rp	125712.291  815.580	14.752  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58156.566	ip	94220.116  683.960	15.064  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58157.522	B	173859.033  1520.125	14.400  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58157.528	V	157083.672  1167.863	14.510  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58157.530	gp	171069.472  1189.708	14.417  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58157.535	rp	137251.595  905.107	14.657  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58157.537	ip	100874.537  744.397	14.991  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58158.210	B	176617.731  1503.264	14.382  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58158.215	V	169360.129  1092.058	14.428  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58158.219	gp	175509.683  1105.873	14.389  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58158.222	rp	1921.308  1921.308	19.291  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58158.224	ip	103481.270  606.444	14.963  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58159.914	B	211555.293  2030.251	14.186  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58159.920	V	183859.728  1434.142	14.339  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58159.922	gp	205142.297  1475.547	14.220  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58159.927	rp	155197.766  1889.848	14.523  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58159.930	ip	101835.246  1156.653	14.980  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  58161.131	B	4564.884  4564.884	18.351  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58161.134	V	194023.152  1264.964	14.281  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58161.136	gp	199285.904  1281.858	14.252  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58161.140	rp	161380.846  931.523	14.480  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58161.143	ip	100610.096  592.561	14.994  0.006	None	Siding_Spring_1m	Sinistro
OBS:	  58162.168	B	10642.261  10642.261	17.432  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58162.174	V	9283.040  9283.040	17.581  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58162.175	gp	4962.896  4962.896	18.261  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58162.179	rp	6907.868  6907.868	17.902  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58162.184	ip	8422.687  8422.687	17.686  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58164.966	B	213237.057  1919.842	14.178  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58164.968	V	196327.759  1593.871	14.267  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58164.970	gp	215647.383  1512.943	14.165  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58164.975	rp	5043.639  5043.639	18.243  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58164.977	ip	87660.488  708.650	15.143  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58165.860	B	203696.038  1915.167	14.228  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58165.863	V	192766.047  1614.663	14.288  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58165.867	gp	206816.663  1497.349	14.211  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58165.870	rp	164934.362  1113.236	14.457  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58165.873	ip	85367.232  760.483	15.171  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58166.230	B	184836.966  1918.746	14.333  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58166.232	V	8561.406  8561.406	17.669  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58166.236	gp	190404.049  1428.773	14.301  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58166.239	rp	6038.086  6038.086	18.048  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58166.241	ip	5884.857  5884.857	18.076  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58168.121	B	185119.146  1621.812	14.332  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58168.125	V	181739.055  1475.433	14.351  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58168.127	gp	192845.769  1308.990	14.287  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58168.130	rp	151786.235  1102.890	14.547  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58168.133	ip	78324.105  686.199	15.265  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58170.208	B	156320.968  1419.469	14.515  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58170.210	V	167401.006  1220.421	14.441  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58170.212	gp	164721.602  1097.521	14.458  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58170.216	rp	2853.498  2853.498	18.862  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58170.219	ip	2121.474  2121.474	19.183  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58171.210	B	143886.024  1344.355	14.605  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58171.212	V	162767.907  1183.732	14.471  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58171.215	gp	157125.716  1053.169	14.510  0.007	None	Siding_Spring_1m	Sinistro
OBS:	  58171.219	rp	2434.015  2434.015	19.034  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58171.222	ip	64571.754  515.096	15.474  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58173.218	V	143632.422  1372.099	14.607  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58173.219	gp	146476.077  1232.947	14.586  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58173.223	rp	113950.825  952.358	14.858  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58173.258	B	130557.524  1348.389	14.710  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58173.261	V	145340.468  1335.963	14.594  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58173.263	gp	147789.280  1223.069	14.576  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58173.265	rp	113200.828  936.282	14.865  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58173.268	ip	53922.178  646.931	15.670  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58174.374	B	120053.875  1399.728	14.801  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58174.377	V	134097.522  1426.252	14.681  0.012	None	Siding_Spring_1m	Sinistro
OBS:	  58174.380	gp	134808.960  1251.109	14.676  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58174.384	rp	104145.840  1076.087	14.956  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58174.386	ip	48711.310  807.263	15.781  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  58179.134	B	72514.229  1105.804	15.349  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  58179.137	V	103508.654  1240.786	14.963  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58179.141	gp	5102.359  5102.359	18.231  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58179.143	rp	4813.693  4813.693	18.294  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58179.147	ip	4214.035  4214.035	18.438  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58185.879	B	39839.055  519.312	16.000  0.014	None	Siding_Spring_1m	Sinistro
OBS:	  58185.881	V	77820.241  796.039	15.272  0.011	None	Siding_Spring_1m	Sinistro
OBS:	  58185.885	gp	57659.813  489.412	15.598  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58185.887	rp	75490.420  642.246	15.305  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58185.890	ip	22580.926  22580.926	16.616  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58188.889	B	29884.486  400.246	16.312  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  58190.170	B	27114.703  314.692	16.417  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58190.173	V	63871.372  608.684	15.487  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58190.175	gp	41118.940  326.201	15.965  0.009	None	Siding_Spring_1m	Sinistro
OBS:	  58190.178	rp	69253.040  524.259	15.399  0.008	None	Siding_Spring_1m	Sinistro
OBS:	  58190.182	ip	51950.980  483.790	15.711  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58193.128	B	21880.105  304.230	16.650  0.015	None	Siding_Spring_1m	Sinistro
OBS:	  58193.131	V	3116.239  3116.239	18.766  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58193.135	gp	1507.040  1507.040	19.555  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58193.138	rp	2153.671  2153.671	19.167  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58193.140	ip	2051.276  2051.276	19.220  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58196.138	B	18488.339  302.663	16.833  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  58196.142	V	3482.448  3482.448	18.645  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58196.144	gp	27601.784  257.733	16.398  0.010	None	Siding_Spring_1m	Sinistro
OBS:	  58196.147	rp	2788.809  2788.809	18.886  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58196.151	ip	2867.118  2867.118	18.856  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58201.108	B	14808.747  316.154	17.074  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  58201.110	V	4437.583  4437.583	18.382  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58201.114	gp	22663.269  266.144	16.612  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58201.117	rp	3469.237  3469.237	18.649  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58201.119	ip	3568.266  3568.266	18.619  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58206.135	B	13733.212  538.585	17.156  0.043	None	Siding_Spring_1m	Sinistro
OBS:	  58206.138	V	29165.498  724.421	16.338  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  58206.140	gp	19501.843  465.573	16.775  0.026	None	Siding_Spring_1m	Sinistro
OBS:	  58206.144	rp	30827.276  596.552	16.277  0.021	None	Siding_Spring_1m	Sinistro
OBS:	  58206.147	ip	28906.628  700.977	16.347  0.026	None	Siding_Spring_1m	Sinistro
OBS:	  58212.118	B	11401.141  312.098	17.358  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  58212.119	V	25477.708  425.010	16.485  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  58212.122	gp	16832.210  265.918	16.935  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  58212.126	rp	2468.788  2468.788	19.019  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58212.129	ip	21290.789  394.757	16.680  0.020	None	Siding_Spring_1m	Sinistro
OBS:	  58220.100	B	10017.205  246.769	17.498  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  58220.103	V	2006.715  2006.715	19.244  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58220.107	gp	14612.533  175.988	17.088  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58220.110	rp	1730.202  1730.202	19.405  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58220.111	ip	2478.100  2478.100	19.015  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58226.072	B	9603.796  270.584	17.544  0.031	None	Siding_Spring_1m	Sinistro
OBS:	  58226.075	V	18313.344  414.410	16.843  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  58226.079	gp	13896.013  229.176	17.142  0.018	None	Siding_Spring_1m	Sinistro
OBS:	  58226.081	rp	16745.875  359.571	16.940  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  58226.085	ip	13438.710  577.338	17.179  0.047	None	Siding_Spring_1m	Sinistro
OBS:	  58233.451	B	83482.866  83482.866	15.196  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58241.030	B	4995.732  4995.732	18.254  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58241.035	V	13203.224  416.444	17.198  0.034	None	Siding_Spring_1m	Sinistro
OBS:	  58241.036	gp	3942.315  3942.315	18.511  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58241.040	rp	11615.370  352.887	17.338  0.033	None	Siding_Spring_1m	Sinistro
OBS:	  58241.043	ip	8294.508  461.907	17.703  0.060	None	Siding_Spring_1m	Sinistro
OBS:	  58247.028	V	11965.191  430.720	17.305  0.039	None	Siding_Spring_1m	Sinistro
OBS:	  58247.032	gp	10862.061  304.368	17.410  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  58247.035	rp	7253.282  7253.282	17.849  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58247.037	ip	36047.155  36047.155	16.108  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58247.350	B	6827.899  221.912	17.915  0.035	None	Siding_Spring_1m	Sinistro
OBS:	  58247.353	V	11020.924  265.591	17.395  0.026	None	Siding_Spring_1m	Sinistro
OBS:	  58247.356	gp	9653.013  147.778	17.538  0.017	None	Siding_Spring_1m	Sinistro
OBS:	  58247.359	rp	9365.835  198.225	17.571  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  58247.363	ip	6941.812  290.696	17.897  0.045	None	Siding_Spring_1m	Sinistro
OBS:	  58256.987	B	5890.521  201.694	18.075  0.037	None	Siding_Spring_1m	Sinistro
OBS:	  58256.989	V	9647.421  266.933	17.539  0.030	None	Siding_Spring_1m	Sinistro
OBS:	  58256.994	gp	8970.960  169.158	17.618  0.020	None	Siding_Spring_1m	Sinistro
OBS:	  58256.998	rp	7410.601  230.413	17.825  0.034	None	Siding_Spring_1m	Sinistro
OBS:	  58257.000	ip	5551.133  395.255	18.139  0.077	None	Siding_Spring_1m	Sinistro
OBS:	  58265.361	B	27183.124  27183.124	16.414  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58265.369	V	3424.427  3424.427	18.664  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58265.379	gp	2162.059  2162.059	19.163  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58265.386	rp	35139.776  35139.776	16.136  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58272.972	B	5001.076  103.225	18.252  0.022	None	Siding_Spring_1m	Sinistro
OBS:	  58272.979	V	5458.850  5458.850	18.157  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58272.986	gp	7074.145  82.771	17.876  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58272.993	rp	3439.726  3439.726	18.659  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58272.998	ip	3626.316  134.792	18.601  0.040	None	Siding_Spring_1m	Sinistro
OBS:	  58416.442	V	128342.298  128342.298	14.729  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58416.446	gp	25306.048  25306.048	16.492  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58416.456	rp	5134.097  5134.097	18.224  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58416.468	ip	2494.529  2494.529	19.008  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58421.439	B	4605.661  4605.661	18.342  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58421.448	V	2476.175  2476.175	19.016  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58421.452	gp	1487.348  1487.348	19.569  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58421.463	rp	86808.055  86808.055	15.154  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58426.358	B	1389.993  1389.993	19.642  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58426.368	V	2003.085  2003.085	19.246  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58426.376	gp	974.919  974.919	20.028  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58426.387	rp	1180.884  1180.884	19.819  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58426.399	ip	2270.348  2270.348	19.110  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58455.425	B	19177.536  19177.536	16.793  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58455.435	V	4437.248  4437.248	18.382  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58455.443	gp	9489.707  9489.707	17.557  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58455.458	rp	1593.196  1593.196	19.494  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58455.459	ip	877.346  877.346	20.142  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58457.333	B	313.573  313.573	21.259  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58457.342	V	457.375  49.330	20.849  0.117	None	Siding_Spring_1m	Sinistro
OBS:	  58457.352	gp	572.761  74.449	20.605  0.141	None	Siding_Spring_1m	Sinistro
OBS:	  58457.357	rp	350.080  350.080	21.140  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58457.365	ip	1209.211  1209.211	19.794  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58472.296	B	437.581  51.251	20.897  0.127	None	Siding_Spring_1m	Sinistro
OBS:	  58472.305	V	561.409  561.409	20.627  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58472.309	gp	698.540  48.396	20.389  0.075	None	Siding_Spring_1m	Sinistro
OBS:	  58472.319	rp	421.751  421.751	20.937  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58472.327	ip	689.406  689.406	20.404  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58487.411	B	904.736  904.736	20.109  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58487.416	V	1724.461  1724.461	19.408  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58487.424	gp	350.420  350.420	21.139  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58487.435	rp	439.961  439.961	20.891  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58487.443	ip	1208.215  1208.215	19.795  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58507.203	B	979.292  145.407	20.022  0.161	None	Siding_Spring_1m	Sinistro
OBS:	  58507.208	V	2674.504  2674.504	18.932  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58507.221	gp	961.172  116.125	20.043  0.131	None	Siding_Spring_1m	Sinistro
OBS:	  58507.226	rp	1839.230  1839.230	19.338  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58507.234	ip	2782.543  2782.543	18.889  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58522.186	B	1996.964  1996.964	19.249  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58522.377	B	520.109  520.109	20.710  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58522.382	V	277.389  277.389	21.392  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58522.395	gp	587.449  587.449	20.578  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58522.400	rp	386.139  73.272	21.033  0.206	None	Siding_Spring_1m	Sinistro
OBS:	  58522.407	ip	1043.367  1043.367	19.954  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58537.118	B	543.563  543.563	20.662  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58537.123	V	623.718  623.718	20.513  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58537.131	gp	389.639  389.639	21.023  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58537.145	rp	446.731  446.731	20.875  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58537.149	ip	609.979  609.979	20.537  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58553.476	B	306.287  306.287	21.285  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58553.486	V	404.886  404.886	20.982  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58553.494	gp	241.736  241.736	21.542  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58553.504	rp	361.131  361.131	21.106  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58553.515	ip	7186.813  7186.813	17.859  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58570.036	B	475.472  475.472	20.807  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58570.041	V	552.375  552.375	20.644  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58570.049	gp	301.453  301.453	21.302  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58570.063	rp	423.170  423.170	20.934  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58570.067	ip	643.167  643.167	20.479  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58602.001	rp	315.319  315.319	21.253  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58876.189	V	2422.557  2422.557	19.039  1.086	None	Siding_Spring_1m	Sinistro
OBS:	  58188.465	B	96879.854  1935.705	15.034  0.022	None	Swift	UVOT
OBS:	  58188.469	V	90131.662  2446.047	15.113  0.029	None	Swift	UVOT
OBS:	  58193.643	UVW1	2150.757  194.718	19.169  0.098	None	Swift	UVOT
OBS:	  58193.646	B	43154.352  1347.414	15.912  0.034	None	Swift	UVOT
OBS:	  58193.649	V	64502.410  2839.790	15.476  0.048	None	Swift	UVOT
OBS:	  58264.241	V	7623.506  1851.224	17.795  0.264	None	Swift	UVOT
OBS:	  58201.108	B	14808.747  316.154	17.074  0.023	None	Siding_Spring_1m	Sinistro
OBS:	  58201.114	gp	22663.269  266.144	16.612  0.013	None	Siding_Spring_1m	Sinistro
OBS:	  58206.136	B	13813.009  542.094	17.150  0.043	None	Siding_Spring_1m	Sinistro
OBS:	  58206.139	V	31299.613  724.445	16.261  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  58206.142	gp	19432.853  480.990	16.779  0.027	None	Siding_Spring_1m	Sinistro
OBS:	  58206.145	rp	32635.825  749.101	16.215  0.025	None	Siding_Spring_1m	Sinistro
OBS:	  58206.146	ip	28365.783  738.622	16.368  0.028	None	Siding_Spring_1m	Sinistro
OBS:	  58155.197	Unknown	124468.954  1325.367	14.762  0.012	None	ATLAS	HKO
OBS:	  58155.201	Unknown	127588.561  1370.468	14.735  0.012	None	ATLAS	HKO
OBS:	  58155.202	Unknown	129132.125  1225.393	14.722  0.012	None	ATLAS	HKO
OBS:	  58155.205	Unknown	130510.582  1144.640	14.711  0.012	None	ATLAS	HKO
OBS:	  58155.207	Unknown	87162.445  731.382	15.149  0.010	None	ATLAS	HKO
OBS:	  58155.208	Unknown	116378.750  898.654	14.835  0.010	None	ATLAS	HKO
OBS:	  58156.217	Unknown	139917.381  1069.334	14.635  0.010	None	ATLAS	HKO
OBS:	  58156.218	Unknown	101397.153  802.336	14.985  0.010	None	ATLAS	HKO
OBS:	  58156.219	Unknown	154012.741  1386.078	14.531  0.009	None	ATLAS	HKO
OBS:	  58156.222	Unknown	146640.819  1462.829	14.584  0.009	None	ATLAS	HKO
OBS:	  58156.223	Unknown	144516.920  1633.806	14.600  0.008	None	ATLAS	HKO
OBS:	  58157.209	Unknown	150388.282  1134.601	14.557  0.008	None	ATLAS	HKO
OBS:	  58157.210	Unknown	107062.712  812.899	14.926  0.008	None	ATLAS	HKO
OBS:	  58157.212	Unknown	172505.280  1552.189	14.408  0.008	None	ATLAS	HKO
OBS:	  58157.216	Unknown	162767.955  1481.856	14.471  0.009	None	ATLAS	HKO
OBS:	  58157.217	Unknown	163150.099  1723.863	14.469  0.009	None	ATLAS	HKO
OBS:	  58161.217	Unknown	184218.775  1880.849	14.337  0.010	None	ATLAS	HKO
OBS:	  58161.219	Unknown	193953.453  1703.716	14.281  0.010	None	ATLAS	HKO
OBS:	  58161.223	Unknown	148298.989  2447.488	14.572  0.011	None	ATLAS	HKO
OBS:	  58161.224	Unknown	103004.729  820.335	14.968  0.011	None	ATLAS	HKO
OBS:	  58161.225	Unknown	174026.263  1319.233	14.398  0.012	None	ATLAS	HKO
OBS:	  58162.246	Unknown	74426.617  4325.024	15.321  0.012	None	ATLAS	HKO
OBS:	  58162.248	Unknown	41928.779  2727.525	15.944  0.008	None	ATLAS	HKO
OBS:	  58162.249	Unknown	91622.943  6189.801	15.095  0.008	None	ATLAS	HKO
OBS:	  58162.253	Unknown	198583.971  1789.352	14.255  0.008	None	ATLAS	HKO
OBS:	  58162.255	Unknown	192850.855  1959.379	14.287  0.008	None	ATLAS	HKO
OBS:	  58163.264	Unknown	182751.448  1923.996	14.345  0.010	None	ATLAS	HKO
OBS:	  58163.265	Unknown	198146.656  1760.994	14.258  0.010	None	ATLAS	HKO
OBS:	  58163.269	Unknown	206109.654  2208.153	14.215  0.010	None	ATLAS	HKO
OBS:	  58163.270	Unknown	94729.694  830.655	15.059  0.010	None	ATLAS	HKO
OBS:	  58163.271	Unknown	175374.700  1267.935	14.390  0.011	None	ATLAS	HKO
OBS:	  58164.211	Unknown	181341.356  1801.116	14.354  0.011	None	ATLAS	HKO
OBS:	  58164.212	Unknown	194975.570  1656.910	14.275  0.011	None	ATLAS	HKO
OBS:	  58164.215	Unknown	198498.868  1523.514	14.256  0.011	None	ATLAS	HKO
OBS:	  58164.216	Unknown	28795.226  2779.831	16.352  0.010	None	ATLAS	HKO
OBS:	  58164.217	Unknown	176482.853  1234.845	14.383  0.010	None	ATLAS	HKO
OBS:	  58165.189	Unknown	175013.342  1245.120	14.392  0.018	None	ATLAS	HKO
OBS:	  58165.190	Unknown	88263.987  692.365	15.136  0.018	None	ATLAS	HKO
OBS:	  58165.191	Unknown	177506.068  1262.726	14.377  0.009	None	ATLAS	HKO
OBS:	  58165.192	Unknown	197844.982  1557.371	14.259  0.009	None	ATLAS	HKO
OBS:	  58165.195	Unknown	192256.285  1591.284	14.290  0.008	None	ATLAS	HKO
OBS:	  58165.196	Unknown	176606.520  1759.893	14.382  0.008	None	ATLAS	HKO
OBS:	  58166.192	Unknown	179174.182  1377.955	14.367  0.063	None	ATLAS	HKO
